team,date,elo
ahq,1/3/13,1300
ahq,1/4/13,1310
ahq,1/5/13,1299.712256
ahq,1/11/13,1290.279026
ahq,1/13/13,1299.712283
ahq,1/18/13,1309.20184
ahq,1/19/13,1299.758354
ahq,1/25/13,1309.472702
ahq,1/27/13,1318.082891
ahq,2/3/13,1320.008949
ahq,2/23/13,1327.45707
ahq,2/24/13,1335.493371
ahq,3/1/13,1342.357931
ahq,3/3/13,1352.268509
ahq,3/8/13,1358.3046
ahq,3/9/13,1367.47287
ahq,3/15/13,1359.276865
ahq,3/17/13,1364.89665
ahq,3/23/13,1371.208518
ahq,3/24/13,1361.544118
ahq,3/29/13,1368.832934
ahq,3/30/13,1374.252549
ahq,4/5/13,1382.810804
ahq,4/6/13,1374.733142
ahq,4/13/13,1379.8273
ahq,4/14/13,1385.469926
ahq,4/19/13,1376.227618
ahq,4/20/13,1383.101123
BKT,1/3/13,1300
BKT,1/4/13,1300
BKT,1/5/13,1309.712256
BKT,1/11/13,1300.008513
BKT,1/12/13,1290.287756
BKT,1/19/13,1281.677384
BKT,1/20/13,1271.622669
BKT,1/25/13,1260.871163
BKT,1/27/13,1252.260974
BKT,2/1/13,1242.673489
BKT,2/2/13,1234.982997
BKT,2/22/13,1228.275446
BKT,2/23/13,1222.760639
BKT,3/1/13,1215.896078
BKT,3/2/13,1206.56803
BKT,3/8/13,1200.531938
BKT,3/9/13,1212.164569
BKT,3/15/13,1204.868345
BKT,3/16/13,1199.289432
BKT,3/22/13,1195.390155
BKT,3/24/13,1207.703507
BKT,3/29/13,1196.91269
BKT,3/30/13,1191.493076
BKT,4/5/13,1181.79039
BKT,4/7/13,1175.453294
BKT,4/12/13,1167.895486
BKT,4/19/13,1160.387288
BKT,4/20/13,1150.767611
KLH,1/3/13,1300
KLH,1/4/13,1290
KLH,1/12/13,1299.720532
KLH,1/13/13,1288.899812
KLH,1/18/13,1279.776392
KLH,1/20/13,1289.831107
KLH,1/25/13,1280.116758
KLH,1/26/13,1271.723613
KLH,2/1/13,1264.528701
KLH,2/2/13,1274.002402
KLH,2/22/13,1283.834414
KLH,2/23/13,1276.006087
KLH,3/2/13,1267.570674
KLH,3/3/13,1261.469457
KLH,3/10/13,1267.536132
KLH,3/16/13,1275.734692
KLH,3/17/13,1284.692109
KLH,3/22/13,1277.245863
KLH,3/24/13,1264.932512
KLH,3/29/13,1257.643696
KLH,3/31/13,1249.292551
KLH,4/5/13,1244.408552
KLH,4/6/13,1253.182013
KLH,4/12/13,1262.425075
KLH,4/13/13,1256.331235
KLH,4/19/13,1263.839433
KLH,4/20/13,1256.965927
MLE,1/3/13,1300
MLE,1/4/13,1290
MLE,1/5/13,1280.287744
MLE,1/12/13,1270.567212
MLE,1/13/13,1261.133956
MLE,1/18/13,1252.803484
MLE,1/20/13,1245.463341
MLE,1/25/13,1256.214847
MLE,1/26/13,1246.226301
MLE,2/2/13,1229.344161
MLE,2/23/13,1221.89604
MLE,2/24/13,1214.744158
MLE,3/1/13,1225.763895
MLE,3/2/13,1219.428377
MLE,3/8/13,1210.266189
MLE,3/9/13,1204.257153
MLE,3/16/13,1196.058593
MLE,3/17/13,1190.438808
MLE,3/22/13,1183.729847
MLE,3/23/13,1180.170229
MLE,3/29/13,1190.961046
MLE,3/30/13,1201.57857
MLE,4/6/13,1188.219506
MLE,4/13/13,1183.125348
MLE,4/14/13,1176.759108
MLE,4/19/13,1173.60746
MLE,4/20/13,1183.227137
SAJ,1/3/13,1300
SAJ,1/5/13,1310
SAJ,1/6/13,1320.008282
SAJ,1/11/13,1329.712025
SAJ,1/12/13,1319.687451
SAJ,1/18/13,1328.017922
SAJ,1/19/13,1336.432685
SAJ,1/26/13,1334.870958
