team,date,elo
AZB,8-Nov-12,1300
AZB,10-Nov-12,1320
AZB,15-Nov-12,1300
AZB,23-Nov-12,1322.162138
AZB,8-Dec-12,1320.88811
AZB,14-Dec-12,1336.491553
AZB,21-Dec-12,1351.538425
AZB,28-Dec-12,1356.737236
AZB,9-Jan-13,1343.955273
AZB,11-Jan-13,1334.849283
AZB,25-Jan-13,1311.135865
AZF,8-Nov-12,1300
AZF,15-Nov-12,1320
AZF,23-Nov-12,1318.849977
AZF,8-Dec-12,1321.077518
AZF,14-Dec-12,1319.74515
AZF,21-Dec-12,1338.588373
AZF,26-Dec-12,1337.386189
AZF,9-Jan-13,1350.168153
AZF,11-Jan-13,1359.274143
AZF,2-Feb-13,1325.920301
CJ,8-Nov-12,1300
CJ,9-Nov-12,1320
CJ,16-Nov-12,1337.707535
CJ,23-Nov-12,1315.545397
CJ,7-Dec-12,1294.651129
CJ,12-Dec-12,1273.998565
CJ,22-Dec-12,1259.404517
CJ,26-Dec-12,1260.606701
GSG,8-Nov-12,1300
GSG,9-Nov-12,1280
GSG,14-Nov-12,1260
GSG,24-Nov-12,1261.150023
GSG,5-Dec-12,1263.442488
GSG,15-Dec-12,1248.620044
GSG,21-Dec-12,1233.573172
IM,8-Nov-12,1300
IM,24-Nov-12,1278.849977
IM,5-Dec-12,1297.897571
IM,14-Dec-12,1299.22994
IM,19-Dec-12,1318.073238
IM,28-Dec-12,1312.874427
KT A,8-Nov-12,1300
KT A,23-Nov-12,1301.150023
KT A,5-Dec-12,1298.857557
KT A,15-Dec-12,1320.124394
KT A,4-Jan-13,1307.548414
KT B,8-Nov-12,1300
KT B,13-Nov-12,1320
KT B,15-Nov-12,1340
KT B,21-Nov-12,1357.707535
KT B,8-Dec-12,1355.479994
KT B,15-Dec-12,1370.302438
KT B,22-Dec-12,1384.896486
KT B,4-Jan-13,1397.531048
KT B,16-Jan-13,1370.017907
KT B,18-Jan-13,1408.750054
KT B,25-Jan-13,1432.463471
MVP Blue,8-Nov-12,1300
MVP Blue,13-Nov-12,1280
MVP Blue,16-Nov-12,1262.292465
MVP Blue,5-Dec-12,1243.244871
MVP Blue,14-Dec-12,1227.641428
MVP Blue,19-Dec-12,1231.965546
MVP Blue,23-Jan-13,1217.549303
MVP White,8-Nov-12,1300
MVP White,15-Nov-12,1280
MVP White,24-Nov-12,1300
MVP White,8-Dec-12,1301.274028
MVP White,12-Dec-12,1321.142064
MVP White,22-Dec-12,1321.083483
MVP White,2-Jan-13,1289.234196
NJ SHD,8-Nov-12,1300
NJ SHD,7-Dec-12,1320.894268
NJ SHD,15-Dec-12,1299.627432
NJ SHD,21-Dec-12,1280.784208
NJ SHD,23-Jan-13,1295.200451
NJ SWD,8-Nov-12,1300
NJ SWD,10-Nov-12,1280
NJ SWD,14-Nov-12,1300
NJ SWD,21-Nov-12,1282.292465
NJ SWD,7-Dec-12,1283.310911
NJ SWD,12-Dec-12,1303.963475
NJ SWD,19-Dec-12,1299.639357
NJ SWD,2-Jan-13,1331.488644
NJ SWD,16-Jan-13,1359.001785
NJ SWD,18-Jan-13,1320.269638
NJ SWD,2-Feb-13,1353.623479
OP,8-Nov-12,1300
OP,7-Dec-12,1298.981554
OP,12-Dec-12,1279.113518
OP,19-Dec-12,1260.27022
