team,date,elo
ziG,15-Mar-13,1300
ziG,16-Mar-13,1310
ziG,17-Mar-13,1319.424989
ziG,22-Mar-13,1328.849977
ziG,23-Mar-13,1338.307963
ziG,24-Mar-13,1348.307963
ziG,29-Mar-13,1337.195295
ziG,30-Mar-13,1344.54344
ziG,31-Mar-13,1353.535782
ziG,5-Apr-13,1361.052434
ziG,6-Apr-13,1368.495003
ziG,7-Apr-13,1356.579302
ziG,12-Apr-13,1367.197978
ziG,13-Apr-13,1355.690253
ziG,14-Apr-13,1362.169044
ziG,19-Apr-13,1371.470777
ziG,20-Apr-13,1377.081701
ziG,21-Apr-13,1383.568915
ziG,26-Apr-13,1391.957405
ziG,27-Apr-13,1380.907509
ziG,28-Apr-13,1370.745521
ziG,3-May-13,1375.669065
ziG,4-May-13,1384.633829
ziG,5-May-13,1390.208375
ziG,10-May-13,1396.378964
ziG,11-May-13,1403.532012
ziG,12-May-13,1392.124496
ziG,17-May-13,1402.488388
ziG,18-May-13,1406.346794
ziG,16-Jun-13,1381.646984
ziG,23-Jun-13,1390.612247
zLM,15-Mar-13,1300
zLM,16-Mar-13,1310
zLM,17-Mar-13,1299.424989
zLM,22-Mar-13,1290
zLM,23-Mar-13,1299.457986
zLM,24-Mar-13,1309.489186
zLM,29-Mar-13,1300.030305
zLM,30-Mar-13,1290.621711
zLM,31-Mar-13,1279.582175
zLM,5-Apr-13,1270.181282
zLM,6-Apr-13,1262.738713
zLM,7-Apr-13,1251.334225
zLM,12-Apr-13,1243.091255
zLM,13-Apr-13,1256.526019
zLM,14-Apr-13,1248.497183
zLM,19-Apr-13,1257.592136
zLM,20-Apr-13,1249.60702
zLM,21-Apr-13,1243.119807
zLM,26-Apr-13,1251.92315
zLM,27-Apr-13,1263.821777
zLM,28-Apr-13,1276.691193
zLM,3-May-13,1269.722895
zLM,4-May-13,1257.956439
zLM,5-May-13,1250.017543
zLM,10-May-13,1243.846954
zLM,11-May-13,1231.352354
zLM,12-May-13,1222.954555
zLM,17-May-13,1216.846793
zLM,18-May-13,1211.554541
zOMG,15-Mar-13,1300
zOMG,16-Mar-13,1310
zOMG,17-Mar-13,1299.424989
zOMG,22-Mar-13,1290
zOMG,23-Mar-13,1299.457986
zOMG,24-Mar-13,1309.489186
zOMG,29-Mar-13,1320.601855
zOMG,30-Mar-13,1330.010449
zOMG,31-Mar-13,1337.354225
zOMG,5-Apr-13,1325.761499
zOMG,6-Apr-13,1316.759858
zOMG,7-Apr-13,1324.844463
zOMG,12-Apr-13,1314.411817
zOMG,13-Apr-13,1325.919541
zOMG,14-Apr-13,1333.948377
zOMG,19-Apr-13,1340.817796
zOMG,20-Apr-13,1350.503322
zOMG,21-Apr-13,1360.648982
zOMG,26-Apr-13,1366.234252
zOMG,27-Apr-13,1375.278958
zOMG,28-Apr-13,1385.440946
zOMG,3-May-13,1392.409245
zOMG,4-May-13,1396.787019
zOMG,5-May-13,1403.946276
zOMG,10-May-13,1412.50239
zOMG,11-May-13,1417.625976
zOMG,12-May-13,1404.772958
zOMG,17-May-13,1394.409067
zOMG,18-May-13,1399.701318
zOMG,16-Jun-13,1407.809897
zOMG,23-Jun-13,1420.974248
zPE,15-Mar-13,1300
